,created_by,created_date,deleted_by,deleted_date,is_deleted,modified_by,modified_date,incident_count,incident_date_gmt,incident_date_local,incident_hour_gmt,incident_hour_local,incident_label_count,incident_val_avg,incident_val_max,incident_val_min,incident_val_sum,camera_id,city_id,customer_id,incident_id,location_id,subsite_id,usecase_id,zone_id
45,1,1698913022000,1,1698913022000,0,1,1698913022000,23,2023-11-01,2023-11-01,12,12,23,0.0,0,0,0,5,4.0,2,5,4,4,5,4
46,1,1698913022000,1,1698913022000,0,1,1698913022000,22,2023-11-01,2023-11-01,13,13,22,0.0,0,0,0,5,4.0,2,5,4,4,5,4
47,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-11-01,2023-11-01,18,18,1,0.0,0,0,0,5,4.0,2,5,4,4,5,4
48,1,1698913022000,1,1698913022000,0,1,1698913022000,4,2023-10-30,2023-10-30,09,09,4,0.0,0,0,0,6,4.0,2,3,4,4,4,4
49,1,1698913022000,1,1698913022000,0,1,1698913022000,19,2023-10-30,2023-10-30,10,10,19,0.10526315789473684,2,0,2,6,4.0,2,3,4,4,4,4
50,1,1698913022000,1,1698913022000,0,1,1698913022000,5,2023-10-30,2023-10-30,11,11,5,1.8,3,1,9,6,4.0,2,3,4,4,4,4
51,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-10-30,2023-10-30,12,12,1,1.0,1,1,1,6,4.0,2,3,4,4,4,4
52,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-10-31,2023-10-31,18,18,1,1.0,1,1,1,6,4.0,2,3,4,4,4,4
53,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,02,02,2,1.0,1,1,2,6,4.0,2,3,4,4,4,4
54,1,1698913022000,1,1698913022000,0,1,1698913022000,7,2023-11-01,2023-11-01,04,04,7,1.0,1,1,7,6,4.0,2,3,4,4,4,4
55,1,1698913022000,1,1698913022000,0,1,1698913022000,4,2023-11-01,2023-11-01,05,05,4,1.0,1,1,4,6,4.0,2,3,4,4,4,4
56,1,1698913022000,1,1698913022000,0,1,1698913022000,8,2023-11-01,2023-11-01,06,06,8,2.25,4,2,18,6,4.0,2,3,4,4,4,4
57,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,07,07,2,1.0,1,1,2,6,4.0,2,3,4,4,4,4
58,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,08,08,2,1.0,1,1,2,6,4.0,2,3,4,4,4,4
59,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-11-01,2023-11-01,09,09,3,1.0,1,1,3,6,4.0,2,3,4,4,4,4
60,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-11-01,2023-11-01,11,11,6,1.0,1,1,6,6,4.0,2,3,4,4,4,4
61,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,12,12,2,1.0,1,1,2,6,4.0,2,3,4,4,4,4
62,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-11-01,2023-11-01,13,13,3,1.0,1,1,3,6,4.0,2,3,4,4,4,4
63,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,18,18,2,1.0,1,1,2,6,4.0,2,3,4,4,4,4
64,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-10-30,2023-10-30,09,09,2,1.5,2,1,3,7,4.0,2,3,4,4,4,4
65,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-10-30,2023-10-30,10,10,3,1.0,1,1,3,7,4.0,2,3,4,4,4,4
66,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-10-31,2023-10-31,18,18,3,1.0,1,1,3,7,4.0,2,3,4,4,4,4
67,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,02,02,2,1.0,1,1,2,7,4.0,2,3,4,4,4,4
68,1,1698913022000,1,1698913022000,0,1,1698913022000,15,2023-11-01,2023-11-01,03,03,15,1.0,1,1,15,7,4.0,2,3,4,4,4,4
69,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-11-01,2023-11-01,04,04,6,1.0,1,1,6,7,4.0,2,3,4,4,4,4
70,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,05,05,2,1.0,1,1,2,7,4.0,2,3,4,4,4,4
71,1,1698913022000,1,1698913022000,0,1,1698913022000,9,2023-11-01,2023-11-01,06,06,9,1.0,1,1,9,7,4.0,2,3,4,4,4,4
72,1,1698913022000,1,1698913022000,0,1,1698913022000,9,2023-11-01,2023-11-01,07,07,9,1.0,1,1,9,7,4.0,2,3,4,4,4,4
73,1,1698913022000,1,1698913022000,0,1,1698913022000,7,2023-11-01,2023-11-01,08,08,7,1.2857142857142858,2,1,9,7,4.0,2,3,4,4,4,4
74,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-11-01,2023-11-01,09,09,6,1.0,1,1,6,7,4.0,2,3,4,4,4,4
75,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,10,10,2,1.0,1,1,2,7,4.0,2,3,4,4,4,4
76,1,1698913022000,1,1698913022000,0,1,1698913022000,8,2023-11-01,2023-11-01,11,11,8,1.125,2,1,9,7,4.0,2,3,4,4,4,4
77,1,1698913022000,1,1698913022000,0,1,1698913022000,5,2023-11-01,2023-11-01,12,12,5,1.0,1,1,5,7,4.0,2,3,4,4,4,4
78,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-11-01,2023-11-01,18,18,1,1.0,1,1,1,7,4.0,2,3,4,4,4,4
79,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-10-30,2023-10-30,09,09,6,0.5,2,0,3,8,4.0,2,3,4,4,4,4
80,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-10-30,2023-10-30,10,10,6,0.8333333333333334,5,0,5,8,4.0,2,3,4,4,4,4
81,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-10-31,2023-10-31,11,11,1,1.0,1,1,1,8,4.0,2,3,4,4,4,4
82,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-10-31,2023-10-31,12,12,2,0.5,1,0,1,8,4.0,2,3,4,4,4,4
83,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-11-01,2023-11-01,02,02,2,1.0,1,1,2,8,4.0,2,3,4,4,4,4
84,1,1698913022000,1,1698913022000,0,1,1698913022000,7,2023-11-01,2023-11-01,04,04,7,1.0,1,1,7,8,4.0,2,3,4,4,4,4
